id,"question_text"
1," Какую категорию фильма вы бы выбрали для досуга"
2,"Уточните какую именно комедию ?"
3,"С какими антагонистами вы любите ужасы ?"
4,"Вы смотрели ""Великий диктатор"" 1940 г."
5,"Вы знакомы с творчеством Саша Барон Коэн"
6,"Вы смотрели ""Борат"" с С.Коэном"
7,"Вы знакомы с творчеством Адама Сэндлера"
8,"Вы смотрели одну из частей ""Очень страшное кино"" "
9,"Какая часть вам больше нравится"
10,"Какой из этих пародийных фильмов вы смотрели?"
11,"Как вам фильм ""Знакомства со спартанцами""?"
12,"Как вам фильм
"" ""Космические шары"" Мела Брукса"""
13,"Как вам фильм
""Фантастический фильм"""
14,"Как вам фильм
""Супергеройский фильм"""
15,"Вы смотрели ""Каникулы"""
16,"Как вам Адам Сэндлер в фильме ""Каникулы"""
17,"Как часто собираетесь с семьей для просмотра фильма "
18,"Где вы обычно смотрите фильмы с семьей"
19,"Смотрели ли вы ""Маска"""
20,"Как вам Джим Керри"
21,"Смотрели ли вы ""Приключение Паддингтона"""
22,"Вы смотрели какой нибудь из этих фильмов с Адамом Сэндлером?"
23,"С какими антаганнистами вы любите ужасы "
24,"Смотрели ли вы Астрал?"
25,"Вы смотрели ""Мама"""
26,"Вам показался страшным ""Астрал""?"
27,"Вам показался страшным ""Мама""?"
28,"Какие элементы в фильмах с призраками вызывают у вас больше всего страха?"
29,"Смотрели фильм ""Не стучи дважды"""
30,"Смотрели фильмы ""Другие"""
31,"Смотрели фильм ""Зодиак"""
32,"Как вам игра Роберта Дауни Младшего в фильме ""Зодиак"""
33,"Смотрели ""Дом который построил Джек"""
34,"Как вам фильм  ""Дом который построил Джек"""
35,"Что вам больше всего нравится в фильмах с маньяками "
36,"Ваш любимый поджанр фильмов про зомби"
37,"Ваш любимый зомби-фильм последнего десятилетия?"
38,"Как единственная игра Бред Питта в зомбе апокалипсисе"
39,"Как единственная игра Киллиан Мерфи в зомбе апокалипсисе"
40,"Как вам самая популярный зомби-фильм за последние 5 лет"
41,"Вы смотрели сериал ""Ходячие мертвецы""?"
42,"Какую концовку вы предпочитаете в ужасах?"
